ID;PERIODO_MARCACION;ACEPTACION
1;202501;0
2;202501;0
3;202501;0
4;202501;0
5;202501;0
6;202501;0
7;202501;0
8;202501;0
9;202501;0
11;202501;0
13;202501;0
15;202501;0
16;202501;0
18;202501;0
21;202501;0
24;202501;0
25;202501;0
28;202501;0
29;202501;0
31;202501;0
34;202501;0
36;202501;0
37;202501;0
38;202501;0
40;202501;0
41;202501;0
42;202501;0
43;202501;0
44;202501;0
45;202501;0
46;202501;0
47;202501;0
48;202501;0
49;202501;0
50;202501;0
51;202501;0
53;202501;0
54;202501;0
55;202501;0
58;202501;0
60;202501;0
61;202501;0
62;202501;0
64;202501;0
65;202501;0
67;202501;0
68;202501;0
69;202501;0
72;202501;0
73;202501;0
74;202501;0
75;202501;0
77;202501;0
78;202501;0
79;202501;0
82;202501;0
84;202501;1
87;202501;0
88;202501;0
89;202501;1
90;202501;0
91;202501;0
92;202501;0
94;202501;0
95;202501;0
99;202501;0
102;202501;0
103;202501;0
104;202501;0
105;202501;0
106;202501;0
108;202501;0
109;202501;0
110;202501;0
111;202501;0
112;202501;0
113;202501;0
114;202501;0
115;202501;0
116;202501;0
117;202501;0
118;202501;0
119;202501;0
121;202501;0
123;202501;0
126;202501;0
127;202501;0
128;202501;0
130;202501;1
132;202501;0
133;202501;0
135;202501;0
136;202501;0
137;202501;0
139;202501;0
140;202501;1
142;202501;0
143;202501;0
144;202501;0
147;202501;0
148;202501;0
149;202501;0
151;202501;0
152;202501;0
154;202501;0
156;202501;0
159;202501;0
161;202501;0
162;202501;0
163;202501;0
164;202501;0
165;202501;0
166;202501;0
167;202501;0
168;202501;0
169;202501;0
172;202501;0
173;202501;0
174;202501;0
175;202501;0
176;202501;0
177;202501;0
178;202501;0
179;202501;0
180;202501;0
181;202501;0
183;202501;1
184;202501;0
185;202501;0
186;202501;0
187;202501;0
188;202501;0
189;202501;0
190;202501;0
191;202501;0
192;202501;0
194;202501;0
195;202501;0
196;202501;0
197;202501;0
198;202501;0
199;202501;0
200;202501;0
201;202501;0
203;202501;0
204;202501;0
205;202501;0
206;202501;0
207;202501;0
208;202501;0
209;202501;0
210;202501;0
212;202501;0
213;202501;0
216;202501;0
219;202501;0
222;202501;0
224;202501;0
225;202501;0
226;202501;0
227;202501;0
228;202501;0
230;202501;0
233;202501;0
234;202501;0
235;202501;0
236;202501;0
237;202501;0
241;202501;0
242;202501;0
246;202501;0
247;202501;0
248;202501;0
249;202501;0
251;202501;0
252;202501;0
253;202501;0
255;202501;0
256;202501;0
257;202501;0
258;202501;0
259;202501;0
260;202501;0
261;202501;0
262;202501;0
264;202501;0
265;202501;0
267;202501;0
268;202501;0
271;202501;0
273;202501;0
274;202501;0
275;202501;0
276;202501;0
277;202501;0
279;202501;0
280;202501;0
282;202501;0
283;202501;0
284;202501;0
285;202501;0
287;202501;1
289;202501;0
291;202501;0
293;202501;0
295;202501;0
297;202501;0
298;202501;0
300;202501;0
302;202501;0
303;202501;0
304;202501;0
305;202501;0
306;202501;0
307;202501;0
308;202501;0
309;202501;0
311;202501;0
312;202501;0
315;202501;0
316;202501;0
317;202501;0
318;202501;0
319;202501;0
321;202501;0
323;202501;0
324;202501;0
325;202501;0
327;202501;0
328;202501;0
331;202501;0
332;202501;0
333;202501;0
334;202501;0
335;202501;0
336;202501;0
337;202501;0
339;202501;0
343;202501;0
344;202501;0
345;202501;0
347;202501;0
348;202501;0
350;202501;0
351;202501;0
352;202501;0
353;202501;0
356;202501;0
357;202501;0
358;202501;0
359;202501;0
360;202501;0
361;202501;0
362;202501;0
363;202501;0
365;202501;0
367;202501;0
368;202501;0
370;202501;0
371;202501;0
374;202501;0
375;202501;0
376;202501;0
377;202501;0
379;202501;0
380;202501;0
381;202501;0
383;202501;0
384;202501;0
385;202501;0
386;202501;0
388;202501;0
389;202501;1
390;202501;1
391;202501;0
392;202501;0
396;202501;0
397;202501;0
398;202501;0
399;202501;0
400;202501;0
401;202501;0
402;202501;0
403;202501;0
404;202501;0
407;202501;0
408;202501;0
409;202501;0
412;202501;0
413;202501;0
414;202501;0
416;202501;0
417;202501;0
418;202501;0
419;202501;0
421;202501;0
422;202501;0
424;202501;0
425;202501;0
427;202501;0
429;202501;0
430;202501;0
431;202501;0
432;202501;0
433;202501;0
434;202501;0
435;202501;0
436;202501;0
439;202501;0
440;202501;0
441;202501;0
442;202501;0
443;202501;0
446;202501;0
447;202501;1
448;202501;0
449;202501;0
450;202501;0
451;202501;0
453;202501;0
456;202501;0
457;202501;0
459;202501;0
463;202501;0
464;202501;0
467;202501;0
468;202501;0
470;202501;1
472;202501;0
473;202501;0
474;202501;0
475;202501;0
476;202501;0
477;202501;0
478;202501;0
479;202501;0
480;202501;0
483;202501;0
484;202501;0
487;202501;0
488;202501;0
489;202501;0
492;202501;0
493;202501;0
494;202501;0
495;202501;0
496;202501;0
497;202501;0
498;202501;0
500;202501;0
501;202501;0
502;202501;0
503;202501;0
504;202501;0
507;202501;0
510;202501;0
511;202501;0
512;202501;0
513;202501;0
514;202501;0
515;202501;0
517;202501;0
518;202501;0
519;202501;0
520;202501;0
522;202501;0
523;202501;0
524;202501;0
526;202501;0
527;202501;0
528;202501;0
530;202501;0
532;202501;0
533;202501;0
534;202501;0
537;202501;0
538;202501;0
539;202501;0
540;202501;0
541;202501;0
542;202501;0
543;202501;0
544;202501;0
545;202501;0
546;202501;0
547;202501;0
548;202501;0
549;202501;0
550;202501;0
551;202501;0
554;202501;0
555;202501;0
556;202501;0
558;202501;0
561;202501;0
562;202501;0
565;202501;0
566;202501;0
569;202501;0
571;202501;0
572;202501;0
573;202501;0
577;202501;0
578;202501;0
579;202501;0
580;202501;0
581;202501;0
583;202501;0
585;202501;0
586;202501;0
587;202501;0
588;202501;0
590;202501;0
591;202501;0
592;202501;0
593;202501;0
594;202501;0
595;202501;0
600;202501;0
601;202501;0
602;202501;0
603;202501;0
605;202501;0
606;202501;0
607;202501;0
608;202501;0
609;202501;0
610;202501;0
612;202501;0
613;202501;0
614;202501;0
615;202501;0
616;202501;0
619;202501;0
620;202501;0
621;202501;0
622;202501;0
623;202501;0
624;202501;0
625;202501;0
626;202501;0
627;202501;0
628;202501;0
630;202501;0
632;202501;0
633;202501;0
634;202501;0
635;202501;0
636;202501;0
637;202501;0
638;202501;0
639;202501;0
640;202501;0
641;202501;0
642;202501;0
644;202501;0
645;202501;0
646;202501;0
647;202501;0
648;202501;0
649;202501;0
650;202501;0
651;202501;0
652;202501;0
653;202501;0
655;202501;0
656;202501;0
658;202501;0
661;202501;0
663;202501;0
664;202501;0
665;202501;0
667;202501;0
670;202501;0
671;202501;0
672;202501;0
674;202501;0
675;202501;0
676;202501;0
677;202501;0
678;202501;0
680;202501;0
681;202501;0
684;202501;0
685;202501;0
686;202501;0
687;202501;0
688;202501;0
690;202501;0
692;202501;0
694;202501;0
695;202501;0
696;202501;0
697;202501;0
698;202501;0
699;202501;0
701;202501;0
702;202501;0
